Year,Month,Day,Cases and deaths,Responses
2019,November,17,"The first known case was retrodated in a Chinese government report to 17 November, but was not recognized at the time.[1]",
2019,December,31,"China contacts the WHO and informs them of ""cases of pneumonia of unknown etiology (unknown cause) detected in Wuhan""[2]",
2020,February,31,"Sweden confirmed the first case of COVID-19. A woman in her 20s, returning from Wuhan on 24 January, tested positive for the SARS-CoV-2 virus and was admitted at Ryhov Region Hospital in Jönköping.",
2020,February,9,,A Chinese Lantern Festival in Jönköping was cancelled in response to the first case imported from Wuhan roughly a week previously.[8]
2020,February,24/2 - 1/3,"The national school holiday ""sport holiday"" occurred, traditionally associated with ski trips to hilly or mountainous regions for families. Though most take their ski trips to domestic ski resorts, some travel to the Alps, which held true in 2020.[9]",
2020,February,26,"The annual Biogen conference took part in Boston attended by 175 executives, including from Sweden. The conference was later identified as a super-spreading event with 300,000 additional cases of COVID-19 being attributed to it, notably in the United States, Australia, Slovakia and Sweden.[10]",
2020,February,27,"Five new cases were confirmed.[11] Västra Götaland Region confirmed that three people in their 30s had tested positive in Gothenburg. Two of them had been in contact with the 30-year-old patient hospitalized the previous day, and one was deemed to have contracted the virus in Italy.[12][13]",The employer's organisation Almega advised its members to stay at home from work for two weeks if they had visited corona risk areas. According to the Swedish Social Insurance Agency ('Försäkringskassan') the employee can receive quarantine allowance ('smittbärarpenning') if the person has a medical certificate.[16]
2020,February,27,"Stockholm Region confirmed that one individual who had tested positive for the virus after returning from Iran was admitted to Karolinska University Hospital for isolation.[14] Uppsala Region confirmed that a woman who had traveled to Germany on a business trip, and met with an Italian colleague, had sought medical attention after showing flu-like symptoms. She tested positive and was admitted to Uppsala University Hospital.[15]",
2020,February,28,"Four new cases were confirmed.[17][18] Jönköping Region confirmed that a man in his 50s had tested positive, and been admitted to Ryhov Region Hospital. He had returned to Sweden from Northern Italy on 24 February, and begun feeling ill 25 February.[19]",
2020,February,28,"Stockholm Region confirmed two positive cases related to the previous individual who had returned from Iran. They were also admitted to Karolinska University Hospital for isolation.[20] Uppsala Region confirmed that an individual who had returned from Iran tested positive for the virus, and was in home quarantine.[21]",
2020,March,3,,"The Scandinavian airline SAS stopped all flights to northern Italy, in an attempt to curb the spread of the virus.[22]"
2020,March,6,Deputy Sveriges Riksbank governor Martin Flodén tested positive on 6 March following a trip to Italy.[23] and one of the Värmland cases is a staff at Myndigheten för Samhällsskydd och Beredskap (MSB).[24],
2020,March,7,In the morning it was reported that all previous cases in Stockholm Region were travel-related or travel-related person-to-person spread.[25] Screening for coronavirus is included in a statistical sample of patients where routine testing for seasonal influenza is performed.[26],"The Gothenburg hotel Clarion Hotel Post chose to let 25 of its 200 employees go, as a response to falling demand due to the virus.[29]"
2020,March,7,"It was reported that one of the cases confirmed on 6 March in Stockholm had sought care at Danderyd Hospital in the Stockholm region on 5 March, and was initially not adequately isolated. The person had caught the virus abroad, but outside known risk areas (at the time South Korea, China, Iran and Northern Italy).[27][28] Contact tracing has begun, with the case marking the second instance of transmission to Sweden from a non-risk area.[28]",
2020,March,8,"To date, Stockholm region states that of the 115 confirmed cases in the region, 101 people have been infected in Italy or through contact with a person who has visited Italy, 8 cases have been infected in Iran or through contact with a person who has visited Iran, one person has been infected in another European country, and five cases are still under investigation.[30] One of the Örebro cases confirmed this day is believed to have caught the virus on a trip back from the US, which he/ she arrived back from approximately a week ago. The other two persons are related to this person. Contact tracing has begun around this case,[31] which is the third case of transmission to Sweden from a non-risk area.[32] The Stockholm region press office did not report cases detected on the afternoon of the 8th, instead reporting an additional 32 cases on the 9th.[33]","On the same date, approx. 15 health care staff at Danderyd Hospital were quarantined after having been in contact with a patient on 5 March who arrived by ambulance to the emergency unit. The patient had not been to a high-risk area and was not initially suspected to have COVID-19, but when the patients health deteriorated hospital staff decided to test the patient for the virus, which showed the person was infected.[34]"
2020,March,8,,Vietnam suspends its visa waiver program to Sweden and seven other European countries in response to the number of cases.[35]
2020,March,9,"Five cases were confirmed in Halland (the first in the region),[36] a first case of COVID-19 was also reported in Sörmland,[37] a first case in Norrbotten,[38] five first cases in Västerbotten[39] and one first case in Östergötaland.[40]","The Health Care Management ('Hälso- och sjukvårdsledningen') in Värmland decided that all health care staff that have visited northern Italy or other high-risk areas (current and future as announced by the Public Health Agency of Sweden) are to self-quarantine for 14 days due to vulnerable patients they may meet in their line of work. The decision is also based on incidents of transmission from health care staff to patients in China, Norway and the United States. An estimate of the number of affected health care staff was not publicly available by this date. Where possible, affected staff are encouraged to work from home and in cases where this is not possible the staff are suspended from work on medical grounds but will maintain salary benefits.[47]"
